7zip	26.01
libidn2-glibc	2.3.7
libimobiledevice	1.3.0-p20250228-3
libimobiledevice-glue	1.3.2-1
libinih	62
libjansson-glibc	2.14
libjasper	4.2.9
libjpeg-turbo	3.1.4.1
libjxl	0.11.2-1
libkdcraw	26.04.2
libkexiv2	26.04.2
libksba	1.8.0
libkscreen	6.7.0
libksysguard	6.7.0
libllvm	21.1.8-2
liblmdb	0.9.35
libltdl	2.5.4-2
liblz4	1.10.0-1
liblz4-glibc	1.10.0
liblzma	5.8.3
liblzma-glibc	5.6.4
liblzo	2.10-5
libmad	0.16.4-2
libmatroska	1.7.1-1
libmd	1.1.0-1
libminizip	1.3.2-1
libmount	2.42.1
libmp3lame	3.100-7
libmpc	1.4.1
libmpeg2	0.5.1-2
libmpfr	4.2.1-1
libmpg123	1.33.3
libmysofa	1.3.4-1
libnettle	4.0+really3.10.2
libnfs	6.0.2-2
libnghttp2	1.69.0
libnghttp2-glibc	1.65.0
libnghttp3	1.16.0
libngtcp2	1.23.0
libnl	3.12.0
libnotify	0.8.8
libnpth	1.6-3
libnspr	4.39
libnss	3.125
libogg	1.3.6-1
libopenblas	0.3.33
libopencore-amr	0.1.6-1
libopenmpt	0.8.7
libopus	1.6.1
libpam-glibc	1.7.0
libpcap	1.10.5-1
libpcsclite	2.5.1
libpixman	0.46.4-1
libplacebo	7.360.1
libplasma	6.7.0
libplist	2.7.0-1
libpng	1.6.58
libpopt	1.19-3
libprotobuf	2:33.1-1
libproxy	0.5.12
libpsl	0.21.5-1
libpsl-glibc	0.21.5
libqaccessibilityclient-qt6	0.6.0
libqrencode	4.1.1-2
librav1e	0.8.1
libraw	0.22.1
libresolv-wrapper	1.1.7-6
librsvg	2.62.3
librsync	2.3.4-1
libsamplerate	0.2.2-4
libsasl	2.1.28-2
libsecret	0.21.7-3
libsixel	1.10.5-1
libsm	1.2.6-1
libsmartcols	2.42.1
libsmartcols-glibc	2.40.2-1
libsndfile	1.2.2-2
libsodium	1.0.22-1
libsoup3	3.6.6
libsoxr	0.1.3-8
libspectre	0.2.12-3
libsqlite	3.53.2
libsrt	1.5.5
libssh	0.12.0-1
libssh2	1.11.1-1
libssh2-glibc	1.11.1
libstemmer	3.0.1
libtalloc	2.4.3
libtasn1	4.21.0
libtatsu	1.0.5-1
libtdb	1.4.15
libtheora	1.2.0-1
libtiff	4.7.1
libtirpc	1.3.7-1
libtool	2.5.4-2
libtwolame	0.4.0-1
libuchardet	0.0.8-2
libudfread	1.2.0
libunbound	1.25.1
libunistring	1.3-1
libunistring-glibc	1.3
libunwind-glibc	1.8.1
libusb	1.0.30
libusbmuxd	2.1.1-2
libuuid	2.42.1
libuuid-glibc	2.40.2-1
libuv	1.52.1
libv4l	1.24.1-2
libva	2.23.0
libverto-glibc	0.3.2
libvidstab	1.1.1-3
libvmaf	3.1.0-1
libvo-amrwbenc	0.1.3-2
libvoikko	4.3.3-2
libvorbis	1.3.7-4
libvpx	1:1.16.0
libwayland	1.25.0
libwebp	1.6.0-rc1-0
libwebrtc-audio-processing	1.3-4
libx11	1.8.13
libx264	1:0.164.3191-1
libx265	4.2
libxau	1.0.12-2
libxaw	1.0.16-1
libxcb	1.17.0-1
libxcomposite	0.4.7
libxcrypt-glibc	4.4.38
libxcursor	1.2.3-1
libxdamage	1.1.7
libxdmcp	1.1.5-2
libxext	1.3.7
libxfixes	6.0.2
libxft	2.3.9-1
libxi	1.8.3
libxinerama	1.1.6
libxkbcommon	1.13.2
libxkbfile	1.2.0
libxml2	2.15.3
libxmlb	0.3.27
libxmu	1.3.1
libxpm	3.5.19
libxrandr	1.5.5
libxrender	0.9.12-1
libxshmfence	1.3.3-1
libxslt	1.1.45-1
libxss	1.2.5
libxt	1.3.1-1
libxtst	1.2.5-1
libxv	1.0.13-1
libxxf86dga	1.1.7
libxxf86vm	1.1.7
libyaml	0.2.5-5
libzimg	3.0.6
libzip	1.11.4-1
libzix	0.6.2-1
libzmq	4.3.5-2
libzxing-cpp	3.0.2
lilv	0.28.0
linux-api-headers-glibc	6.18.7
littlecms	2.19.1
lld	21.1.8-2
llvm	21.1.8-2
lrzip	0.660
lsof	4.99.7
lua52	5.2.4-15
lua54	5.4.8-6
